technischer Schlüssel;Objektnummer;Bezirk;Ortsteil;Art der Grünanlage;Name der Grünanlage;Namenszusatz der Grünanlage;Baujahr;letztes Sanierungsjahr;Größe in m² (Kataster);Widmung;Nummer des Planungsraumes;Name Planungsraum;anrechenbar Grünflächenversorgung
00008100:001991d0;314;Marzahn-Hellersdorf;Biesdorf;Grünanlage;Schlosspark Biesdorf ;Gartendenkmal;1887;1995;32654.8;gewidmet;10030726;Alt-Biesdorf;1
00008100:0019941f;187;Marzahn-Hellersdorf;Marzahn;Grünanlage;Trusetaler Straße 15 - 55;Grünzug Rückfront Trusetaler;1986;-;9353;gewidmet;10010204;Wuhletalstr.;1
00008100:00199146;863;Marzahn-Hellersdorf;Marzahn;Grünanlage;Ludwig-Renn-Straße 67/ 69,;Grünanlage nach Kita-Abriss;2002;-;6185;gewidmet;10010206;Ringkolonnaden;1
00008100:001c96a6;28GA09;Lichtenberg;Friedrichsfelde;Grünanlage;Hönower Weg / Mellenseestraße 9-11 / Grünfläche;-;-;-;12209;gewidmet;11041128;Sewanstraße;1
00008100:001c94aa;28GA10;Lichtenberg;Friedrichsfelde;Grünanlage;Hönower Weg / Mellenseestr. 35-38;-;-;-;5340;gewidmet;11041128;Sewanstraße;1
00008100:001c93fd;29GA01;Lichtenberg;Rummelsburg;Grünanlage;Köpenicker Chaussee 20 südlich;-;-;-;4463;gewidmet;11051229;Rummelsburg;0
00008100:001c9332;02GA14;Lichtenberg;Wartenberg;Grünanlage;Barnimer Dörferweg (Malchow-Wartenberg);-;-;-;55847;gewidmet;11010102;Dorf Wartenberg;1
00008100:001c9698;03GA18;Lichtenberg;Falkenberg;Grünanlage;Pachtfläche im NSG Falkenberger Rieselfelder;-;-;-;113258;-;11010103;Dorf Falkenberg;1
00008100:001c968e;02GA15;Lichtenberg;Wartenberg;Grünanlage;Wege zw. Grüner Trift u. Stegeweg;entl. KGA Falkenhöhe;-;-;4746;gewidmet;11010102;Dorf Wartenberg;0
00008100:00199431;189;Marzahn-Hellersdorf;Marzahn;Grünanlage;Liebensteiner Promenade/Trusetaler Str., 189;mit Spielbereich;1986;-;13612;gewidmet;10010204;Wuhletalstr.;1
00008100:001c9525;29GA03;Lichtenberg;Rummelsburg;Grünanlage;Rummelsburger Bucht / Wasserstadt (Anger);-;1999;-;2336;gewidmet;11051229;Rummelsburg;0
00008100:002419c8;16GA02;Lichtenberg;Alt-Hohenschönhausen;Grünanlage;LA / Rahmengrün an KGA Sonnenblume;-;-;-;352;-;11020516;Weiße Taube;0
00008100:00242dd9;02GA29;Lichtenberg;Wartenberg;Grünanlage;Am Hechtgraben / KGA Falkenhöhe 1932 / GA ;-;-;-;5670;gewidmet;11010102;Dorf Wartenberg;1
00008100:00264692;18GA25;Lichtenberg;Lichtenberg;Grünanlage;Ruschestr. bis Siegfriedstr. / Grünzug;-;-;-;8519;gewidmet;11030720;Herzbergstraße;1
00008100:001c9415;04GA09;Lichtenberg;Neu-Hohenschönhausen;Grünanlage;Wartiner Str. 40-50;-;-;-;1284;gewidmet;11010204;Falkenberg Ost;0
00008100:001c9316;09GA01;Lichtenberg;Neu-Hohenschönhausen;Grünanlage;Darßer Straße / Grünanlage;(Schwarzer Weg);-;-;37090;gewidmet;11010309;Zingster Straße West;1
00008100:001c92ea;05GA03;Lichtenberg;Neu-Hohenschönhausen;Grünanlage;Warnitzer Bogen / GA;-;-;-;21133;gewidmet;11010205;Falkenberg West;1
00008100:001c956f;02GA03;Lichtenberg;Wartenberg;Grünanlage;Dorfstr. 19 a-f / Wartenberg;-;-;-;9402;gewidmet;11010102;Dorf Wartenberg;1
00008100:001c968c;03GA14;Lichtenberg;Falkenberg;Grünanlage;Falkenberger Chaussee / Dorfstr. Falkenb;-;-;-;8106;gewidmet;11010103;Dorf Falkenberg;1
00008100:001991e6;291;Marzahn-Hellersdorf;Marzahn;Grünanlage;Bruno-Baum-Straße - westl.Seite Teilfl.;breiter Grünstreifen entlang Straße;1986;-;5540;gewidmet;10010310;Alt-Marzahn;1
00008100:00199455;173;Marzahn-Hellersdorf;Marzahn;Grünanlage;Max-Herrmann-Straße - Ringkolonnaden;Ringkolonnaden;1990;-;20149;gewidmet;10010206;Ringkolonnaden;1
00008100:00199453;165;Marzahn-Hellersdorf;Marzahn;Grünanlage;S-Bahnhofs-Vorplatz Mehrower Allee;Mehrower Allee/ Märkische Allee;1985;-;4454.6;gewidmet;10010206;Ringkolonnaden;0
00008100:00199739;2300195;Marzahn-Hellersdorf;Hellersdorf;Grünanlage;Wuhle -Rev.5 bis Eisenacher Str.;Grenze Rev.9 bis an die Eisenacher Str.;-;-;104773;gewidmet;10020413;Gut Hellersdorf;1
