FID,gml_id,spatial_na,spatial_al,spatial_ty,PLRNAME,BZRNAME,PGRNAME,BEZNAME,DATUM,SHAPE_Length,SHAPE_Area
92,re_planungsraum.03051022,03051022,Hansastraße,Polygon,Hansastraße,Weißensee Ost,Südliches Weißensee,Pankow,2006-06-14T00:00:00,6113.10047120003,1866545.58274323
93,re_planungsraum.03061126,03061126,Arnimplatz,Polygon,Arnimplatz,Prenzlauer Berg Nordwest,Nördlicher Prenzlauer Berg,Pankow,2006-06-14T00:00:00,6995.34541667498,2761845.89975378
94,re_planungsraum.03061131,03061131,Falkplatz,Polygon,Falkplatz,Prenzlauer Berg Nordwest,Nördlicher Prenzlauer Berg,Pankow,2006-06-14T00:00:00,6874.65922754758,2452954.26375647
95,re_planungsraum.03061227,03061227,Humannplatz,Polygon,Humannplatz,Prenzlauer Berg Nord,Nördlicher Prenzlauer Berg,Pankow,2006-06-14T00:00:00,5793.60962066512,1873300.639303
96,re_planungsraum.03061228,03061228,Erich-Weinert-Straße,Polygon,Erich-Weinert-Straße,Prenzlauer Berg Nord,Nördlicher Prenzlauer Berg,Pankow,2006-06-14T00:00:00,6726.37004259905,2608357.79429693
97,re_planungsraum.03061332,03061332,Helmholtzplatz,Polygon,Helmholtzplatz,Helmholtzplatz,Nördlicher Prenzlauer Berg,Pankow,2006-06-14T00:00:00,5826.45404639512,1926675.57928666
98,re_planungsraum.03061429,03061429,Greifswalder Straße,Polygon,Greifswalder Straße,Prenzlauer Berg Ost,Nördlicher Prenzlauer Berg,Pankow,2006-06-14T00:00:00,6312.41364777477,2304627.2325403
99,re_planungsraum.03061430,03061430,Volkspark Prenzlauer Berg,Polygon,Volkspark Prenzlauer Berg,Prenzlauer Berg Ost,Nördlicher Prenzlauer Berg,Pankow,2006-06-14T00:00:00,7407.71220159546,3269614.00804467
100,re_planungsraum.03061434,03061434,Anton-Saefkow-Park,Polygon,Anton-Saefkow-Park,Prenzlauer Berg Ost,Nördlicher Prenzlauer Berg,Pankow,2006-06-14T00:00:00,5253.62422639525,1487157.68421325
101,re_planungsraum.03061435,03061435,Conrad-Blenkle-Straße,Polygon,Conrad-Blenkle-Straße,Prenzlauer Berg Ost,Nördlicher Prenzlauer Berg,Pankow,2006-06-14T00:00:00,5162.83020242617,1490030.74207484
102,re_planungsraum.03061441,03061441,Eldenaer Straße,Polygon,Eldenaer Straße,Prenzlauer Berg Ost,Nördlicher Prenzlauer Berg,Pankow,2006-06-14T00:00:00,5984.087786544,1556696.01555818
103,re_planungsraum.03071536,03071536,Teutoburger Platz,Polygon,Teutoburger Platz,Prenzlauer Berg Südwest,Südlicher Prenzlauer Berg,Pankow,2006-06-14T00:00:00,6021.00202324658,1481393.78558761
104,re_planungsraum.03071537,03071537,Kollwitzplatz,Polygon,Kollwitzplatz,Prenzlauer Berg Südwest,Südlicher Prenzlauer Berg,Pankow,2006-06-14T00:00:00,6834.40791979605,2215257.36435218
105,re_planungsraum.03071633,03071633,Thälmannpark,Polygon,Thälmannpark,Prenzlauer Berg Süd,Südlicher Prenzlauer Berg,Pankow,2006-06-14T00:00:00,4431.04458267819,1182930.14583499
106,re_planungsraum.03071638,03071638,Winsstraße,Polygon,Winsstraße,Prenzlauer Berg Süd,Südlicher Prenzlauer Berg,Pankow,2006-06-14T00:00:00,6572.77429134666,1750239.89715505
107,re_planungsraum.03071639,03071639,Bötzowstraße,Polygon,Bötzowstraße,Prenzlauer Berg Süd,Südlicher Prenzlauer Berg,Pankow,2006-06-14T00:00:00,5534.70467832521,1540121.24015443
108,re_planungsraum.04010101,04010101,Jungfernheide,Polygon,Jungfernheide,Charlottenburg Nord,CW 1,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,14082.3072907474,8279657.29918365
109,re_planungsraum.04010102,04010102,Plötzensee,Polygon,Plötzensee,Charlottenburg Nord,CW 1,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,10813.8606274193,5852750.69734537
110,re_planungsraum.04010103,04010103,Paul-Hertz-Siedlung,Polygon,Paul-Hertz-Siedlung,Charlottenburg Nord,CW 1,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,10671.5474897296,1500577.06282663
111,re_planungsraum.04020204,04020204,Olympiagelände,Polygon,Olympiagelände,Heerstrasse,CW 2,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,12071.866069863,7045897.61210857
112,re_planungsraum.04020205,04020205,Siedlung Ruhleben,Polygon,Siedlung Ruhleben,Heerstrasse,CW 2,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,7510.82591690717,1753417.05691285
113,re_planungsraum.04020206,04020206,Angerburger Allee,Polygon,Angerburger Allee,Heerstrasse,CW 2,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,4387.92385420536,973935.505294182
114,re_planungsraum.04020207,04020207,Flatowallee,Polygon,Flatowallee,Heerstrasse,CW 2,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,8711.24585619506,2636217.15843653
115,re_planungsraum.04020208,04020208,Kranzallee,Polygon,Kranzallee,Heerstrasse,CW 2,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,12567.8909710818,3997269.74757176
116,re_planungsraum.04020209,04020209,Eichkamp,Polygon,Eichkamp,Heerstrasse,CW 2,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,10101.4526349249,4329067.97502688
117,re_planungsraum.04020310,04020310,Park Ruhwald,Polygon,Park Ruhwald,Westend,CW 2,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,12191.5870319224,5512144.94861026
118,re_planungsraum.04020311,04020311,Reichsstraße,Polygon,Reichsstraße,Westend,CW 2,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,11821.4791294835,4329814.53293214
119,re_planungsraum.04020312,04020312,Branitzer Platz,Polygon,Branitzer Platz,Westend,CW 2,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,5778.56304069022,1925778.60743389
120,re_planungsraum.04020313,04020313,Königin-Elisabeth-Straße,Polygon,Königin-Elisabeth-Straße,Westend,CW 2,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,6237.03034668551,1770773.60949757
121,re_planungsraum.04020314,04020314,Messegelände,Polygon,Messegelände,Westend,CW 2,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,7156.15728425181,2418580.72761182
122,re_planungsraum.04030415,04030415,Schloßgarten,Polygon,Schloßgarten,Schloß Charlottenburg,CW 3,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,8520.62801647741,3391053.98159003
123,re_planungsraum.04030416,04030416,Klausenerplatz,Polygon,Klausenerplatz,Schloß Charlottenburg,CW 3,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,4635.99653912696,1289663.19178379
124,re_planungsraum.04030417,04030417,Schloßstraße,Polygon,Schloßstraße,Schloß Charlottenburg,CW 3,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,6793.86042531125,1516887.12151428
125,re_planungsraum.04030518,04030518,Tegeler Weg,Polygon,Tegeler Weg,Mierendorffplatz,CW 3,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,4865.47419741011,1399523.39357106
126,re_planungsraum.04030519,04030519,Kaiserin-Augusta-Allee,Polygon,Kaiserin-Augusta-Allee,Mierendorffplatz,CW 3,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,12265.6689085791,3710140.27810765
127,re_planungsraum.04030620,04030620,Alt-Lietzow,Polygon,Alt-Lietzow,Otto-Suhr-Allee,CW 3,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,5649.69605470602,1445323.47393198
128,re_planungsraum.04030621,04030621,Spreestadt,Polygon,Spreestadt,Otto-Suhr-Allee,CW 3,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,6813.60724273103,1925128.66739059
129,re_planungsraum.04030622,04030622,Richard-Wagner-Straße,Polygon,Richard-Wagner-Straße,Otto-Suhr-Allee,CW 3,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,5377.27706033659,1484622.74380833
130,re_planungsraum.04030623,04030623,Ernst-Reuter-Platz,Polygon,Ernst-Reuter-Platz,Otto-Suhr-Allee,CW 3,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,8762.46114441261,2584372.1457095
131,re_planungsraum.04030724,04030724,Lietzensee,Polygon,Lietzensee,Neue Kantstraße,CW 3,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,6000.28274817306,1708112.60793909
132,re_planungsraum.04030725,04030725,Amtsgerichtsplatz,Polygon,Amtsgerichtsplatz,Neue Kantstraße,CW 3,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,5743.42569367464,1390216.95021448
133,re_planungsraum.04030726,04030726,Droysenstraße,Polygon,Droysenstraße,Neue Kantstraße,CW 3,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,4254.92513363237,912965.363036997
134,re_planungsraum.04030827,04030827,Karl-August-Platz,Polygon,Karl-August-Platz,Kantstraße,CW 3,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,5160.4238702609,1577759.24678335
135,re_planungsraum.04030828,04030828,Savignyplatz,Polygon,Savignyplatz,Kantstraße,CW 3,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,5625.76087330726,1447958.49007409
136,re_planungsraum.04030929,04030929,Hindemithplatz,Polygon,Hindemithplatz,Kurfürstendamm,CW 3,Charlottenburg-Wilmersdorf,2006-06-14T00:00:00,3763.83875094384,807342.51042719
