,PLZ,PLR
179,14089,"[5020524, 5020629, 5040934, 5040935, 5040936, 5040937, 5040938, 4061757]"
180,14109,"[5040937, 6040701, 6040703, 6040702]"
181,14129,"[5040934, 5040937, 4061757, 6040804, 6040701, 6040703, 6040702]"
182,14163,"[6030501, 6030503, 6040804, 6040703, 6040702, 6040805, 6040806, 6040807]"
183,14165,"[6030501, 6030502, 6030503, 6040702, 6030504]"
184,14167,"[6030502, 6030503, 6020408, 6030607, 6030504, 6030608, 6030610]"
185,14169,"[4061757, 6030503, 6040804, 6040808, 6040810, 6040703, 6040805, 6040806, 6040807, 6040809, 6030605, 6030610]"
186,14193,"[4020208, 4031032, 4041134, 4041135, 4041137, 4041133, 4041136, 4051445, 5020629, 5040934, 4061757, 6040804, 6040808, 6040703]"
187,14195,"[4041135, 4041240, 4041241, 4041342, 4041343, 4041344, 6010101, 6010103, 4061757, 6040808, 6040810, 6040807, 6040809, 6030605]"
188,14197,"[4041239, 4041241, 4041342, 4041343, 4041344, 4051551, 4051656, 6010103, 7030301]"
189,14199,"[4041135, 4041137, 4041136, 4041238, 4041239, 4041240, 4041241, 4041342, 4041343, 4051445, 4051551, 4051549, 6040810]"
